Posted Date,Reference Number,Payee,Address,Amount
02/28/2026,24692166058102563790457,"TST*CANDIBAR Boston MA","Boston        MA ",-23.74
02/27/2026,24692166058102443747354,"SQ *CANDIBARCOATCHECK BOSTON MA","BOSTON        MA ",-11.50
02/27/2026,24055236058662454756083,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
02/27/2026,24755426058150587088285,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-23.50
02/27/2026,24943006057385436105930,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
02/27/2026,24943006057385436102259,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.80
02/27/2026,24943006057385436101574,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-6.29
02/27/2026,24431066057385442379985,"H MART CAMBRIDGE LLC CAMBRIDGE MA","CAMBRIDGE     MA ",-24.99
02/27/2026,24164076057091016207493,"TARGET 00032227 CAMBRIDGE MA","CAMBRIDGE     MA ",-6.39
02/26/2026,24055236057661301188111,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
02/26/2026,24055236057661296497352,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
02/26/2026,24943006056384855108211,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.11
02/26/2026,24164076056091016644225,"TARGET 00032227 CAMBRIDGE MA","CAMBRIDGE     MA ",-20.04
02/26/2026,24011346056100115691623,"CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","ANTHROPIC.COM CA ",-20.00
02/25/2026,24116416056659974403573,"CTLP*Canteen Vending S CHARLOTTE NC","CHARLOTTE     NC ",-2.00
02/25/2026,24116416056659974371556,"CTLP*Canteen Vending S CHARLOTTE NC","CHARLOTTE     NC ",-2.50
02/25/2026,24055236056660176465043,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
02/25/2026,24431066056384436623657,"CHIPOTLE 1615 CAMBRIDGE MA","CAMBRIDGE     MA ",-16.75
02/25/2026,24755426056730568820327,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-20.00
02/25/2026,24692166055100319434258,"CPI*CANTEEN VENDING ALBAN800-628-8363 NY","800-628-8363  NY ",-3.00
02/25/2026,24692166055100253490472,"CPI*CANTEEN VENDING ALBAN800-628-8363 NY","800-628-8363  NY ",-3.45
02/25/2026,24492166055100055752931,"KENDALL BARBERS 192-92652995 NY","192-92652995  NY ",-45.00
02/24/2026,05420405720054905806780,"ONLINE PAYMENT FROM CHK 8178","",1184.46
02/23/2026,24055236054658038362574,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
02/23/2026,24431066054383302217430,"CHIPOTLE 1615 CAMBRIDGE MA","CAMBRIDGE     MA ",-16.75
02/23/2026,24137466054001348121635,"BROTHERS MARKETPLACE #404CAMBRIDGE MA","CAMBRIDGE     MA ",-23.12
02/23/2026,24755426054730540522555,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-13.49
02/23/2026,24692166054108826755728,"CPI*CANTEEN VENDING ALBAN800-628-8363 NY","800-628-8363  NY ",-3.00
02/23/2026,24055236053657012827496,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
02/23/2026,24269796052500963203091,"KENDALL SQUARE 231 CAMBRIDGE MA","CAMBRIDGE     MA ",-19.53
02/21/2026,24755426052150527599777,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-10.00
02/21/2026,24801976051654996346593,"BUS CAMPUS GROUP 212-854-0356 NY","212-854-0356  NY ",-130.00
02/21/2026,24137466051501025733217,"TST* GRAFTON STREET PUB ACAMBRIDGE MA","CAMBRIDGE     MA ",-30.48
02/21/2026,24692166051404018907232,"TST*FELIPES TAQUERIA Cambridge MA","Cambridge     MA ",-43.50
02/21/2026,24692166051404018906705,"TST*FELIPES TAQUERIA Cambridge MA","Cambridge     MA ",-21.91
